id,plate,car_label,vehicle_id,event_status,out_date,expected_return_date,follow_date,actual_in_date,driver,liable_party,charge_to,garage,maintenance_type,service_main,service_sup,damage_location,severity,responsible,spare_part,invoice_no,cost,maintenance_notes,cost_notes
77609,"BB 21138","NISSAN PATROLMATTE BLACK - Black Tiffany - 2020 - BB 21138",1867,Test,2026-05-24,,2026-05-24,,,,,,Routine,Electrical,,,,,,,,"The wipers have been replaced in the parking
Ready",
77610,"Z 19114","CHEVROLET TRAVERSE - White - 2023 - Z 19114",1946,IN,2026-05-23,2026-05-24,2026-05-24,2026-05-24,,,,"Qasr al zaiton",Routine,"Engine, Electrical, Body & Exterior","AC Not Cooling",,,,,missing,,"check engine needs to install shutter it's in parking 
sharjah 
--------------
Front bumper will be removed
Front front-section/panel will be installed
Shutter Motor Replacement
------------
needs the plug of the shutter / new 
---------
collecting parts the shutter anf front bumper
The front shutter and bumper have been installed.
The check engine issue has been resolved.",
77611,"EE 89165","CITROEN C4 - Grey - 2024 - EE 89165",1926,OUT,2026-05-24,2026-05-25,2026-05-24,2026-05-25,,,,"Deals On Wheels auto",Routine,"Body & Exterior","Minor Surface Scratch",,,,,,,"Damage/scraping along the entire right side.
The right mirror indicator is cracked.
Light scratches on the rear bumper.
Scratches and a dent on the rear left door.",
77612,"Z 96890","FORD ESCAPE - Grey - 2021 - Z 96890",1816,IN,2026-05-23,2026-05-24,2026-05-24,2026-05-24,,,,"Deals On Wheels auto",Routine,"Body & Exterior, Tires","Minor Surface Scratch, Tire Service / Wheel Area Noise",,,,,missing,,"front left bumper painted",
77613,"Z 96890","FORD ESCAPE - Grey - 2021 - Z 96890",1816,OUT,2026-05-24,2026-05-25,2026-05-24,2026-05-25,,,,"FUTURE TYRES",Routine,Brakes,"Tire Service / Wheel Area Noise",,,,,,,"Noise coming from the rear tires.",
77614,"K 20797","FORD MUSTANG - Red Black - 2021 - K 20797",1812,IN,2026-05-24,2026-05-24,2026-05-24,2026-05-24,,,,"Deals On Wheels auto",Routine,"Body & Exterior, Engine","Front Lip / Diffuser Damage, Engine Oil Leak",,,,,missing,,"Minor crack/damage on front lip
Signs of leakage from brake line/pipe
Cover/trim under radio unit required
The front lip has been replaced and painted. // from the spare that they have 
The leak area has been washed and cleaned.
Ready",
77615,"K 20797","FORD MUSTANG - Red Black - 2021 - K 20797",1812,OUT,2026-05-24,2026-05-25,2026-05-24,2026-05-25,,,,"Qasr al zaiton",Routine,Engine,,,,,,,,"The leak issue will be addressed tomorrow.",
77616,"T 91432","LAND ROVER DISCOVERY - White - 2020 - T 91432",1821,"Follow up",2026-05-24,2026-05-24,2026-05-24,2026-05-24,,,,Parking,Routine,Electrical,,,,,,,,"Inspection of the battery starter/starting system.",
77617,"AA 75985","CHEVROLET CAMARO - Matte Blue - 2021 - AA 75985",1861,IN,2026-05-23,2026-05-24,2026-05-24,2026-05-24,,,,"Alnkhba  Alzahabiah",Routine,"Electrical, Engine","Engine mechanical issue, Airbag",,,,,missing,,"Airbag system inspection.
Inspection of the noise coming from the engine.
Airbag system issue.
The noisy pulley will be replaced.
-----------
working on the engine noise / dn 
working on the air bag problem 
-------------
for programming 
waiting code to comlete the work today or tomorrow will end 
-------------
working on programming today will end
The vehicle requires cleaning.
It may need one day for checking.",
77618,"CC 32022","MERCEDES CLA250 - Black - 2023 - CC 32022",1872,"Follow up",2026-05-24,2026-05-24,2026-05-24,2026-05-24,,,,Parking,Routine,"Cooling System",,,,,,,,"The vehicle has returned from the cx.
Coolant warning message.",
77619,"Z 96890","FORD ESCAPE - Grey - 2021 - Z 96890",1816,"Follow up",2026-05-24,2026-05-25,2026-05-25,2026-05-25,,,,"FUTURE TYRES",Routine,Brakes,"Tire Service / Wheel Area Noise",,,,,,,"Noise coming from the rear tires.
-----------
check tires soon the noise from tires 
bearing needs to change soon",
77620,"T 91432","LAND ROVER DISCOVERY - White - 2020 - T 91432",1821,OUT,2026-05-25,2026-05-26,2026-05-25,2026-05-26,,,,"Deals On Wheels auto",Routine,Electrical,,,,,,,,"Inspection of the battery starter/starting system.
--------------
battery after test it's good it will change after 1 year 
starter is good 
Noise while driving coming from the rear bumper.
The vehicle battery replaced.
car is ready",
77621,"R 90426","CHEVROLET MALIBU - Black - 2022 - R 90426",1954,IN,2026-05-22,2026-05-25,2026-05-25,2026-05-25,,,,"Deals On Wheels auto",Routine,"Suspension, Body & Exterior","Suspension Noise on Bumps, Paint Peeling / Fading",,,,,missing,,"Noise is coming from the front right and left sides.
The bearings on both sides will be removed and inspected to determine whether there is an issue or if they require lubrication.
--------------
noise problem fixed 
steering problrm dn 
front bumper 
Front bumper removed
Front right chassis section welded/repaired
Left side of front bumper requires repainting
Disassembly and welding work completed; finishing work still pending
--------------
Paint work completed; final polishing/finishing pending
Front left fender repainted
Vehicle/paint area requires polishing",
77622,"Z 96890","FORD ESCAPE - Grey - 2021 - Z 96890",1816,IN,2026-05-24,2026-05-25,2026-05-25,2026-05-25,,,,"FUTURE TYRES",,Brakes,"Tire Service / Wheel Area Noise",,,,,missing,,"Noise coming from the rear tires.
-----------
check tires soon the noise from tires 
bearing needs to change soon",
77623,"CC 32022","MERCEDES CLA250 - Black - 2023 - CC 32022",1872,OUT,2026-05-25,2026-05-25,2026-05-25,2026-05-25,,,,Regent,Breakdown,,,,,,,,,,
77624,"K 20797","FORD MUSTANG - Red Black - 2021 - K 20797",1812,"Follow up",2026-05-24,2026-05-25,2026-05-25,2026-05-25,,,,"Qasr al zaiton",Routine,Engine,,,,,,,,"The leak issue will be addressed tomorrow. // dn",
77625,"BB 56617","INFINITI QX80 - Black Green - 2019 - BB 56617",,"Follow up",2026-05-23,2026-05-26,2026-05-25,2026-06-01,ABDULLAH,,,"AL TAKHASUS",Routine,"Electrical, Suspension","Steering box issue",,,,,,,"Radar system issue under repair
Steering wheel switches will be inspected/repaired
Alternative/better solution will be tested
Testing in progress to determine the best repair solution
The steering wheel has been removed.
The airbag clock spring/ribbon will be installed.
Work is in progress on the wiring for the steering
 wheel and airbag installation.
----------------
----------
abs problem 
didn't  solve the problem 
-------------
Radar issue not resolved after steering switch replacement
Electrical system fault detected
System requires new software update or ECU replacement
Door handles require relay repair/service
------------
ecu needs new software",
77626,"G 87143","NISSAN PATROL - Tiffany Black - 2020 - G 87143",1834,"Follow up",2026-05-23,2026-05-25,2026-05-25,2026-05-25,,,,"AL TAKHASUS",Breakdown,"Engine, Body & Exterior","Engine mechanical issue, Rim Scratch, Ignition Issues",,,,,,,"noise from engine
yesterday changed 2 front tires 
rims scratches 
-----------
Cylinder/Spark Plug No. 6 replaced
Engine requires overhaul/opening or replacement
-------
no problem with cylindet now 
engine needs replacement 
The BlackVue dash camera is not working.
Noise coming from the engine.",
77627,"B 44648","HYUNDAI ELENTRA - Green - 2013 - B 44648",1607,"Follow up",2026-05-24,2026-05-29,2026-05-25,2026-05-29,,,,"Deals On Wheels auto",Routine,"Engine, Cooling System, Air Conditioning, Tires, Brakes, Electrical, Interior, Transmission","Oil & Fillter Change, Coolant Leak, AC Not Cooling, Brake Pad Wear, Headlights / Taillights Fault, Upholstery Damage",,,,,,,"Engine oil and filters replaced
Coolant/water leak detected
Air conditioning system requires inspection/service
Rear tires require replacement
Brake system requires service/replacement
Front right headlight issue
Upholstery and paint work required
--------------
Engine mounts require replacement
Transmission mounts require replacement
needs Engine air filter + Spark plugs + A/C filter
new Ac compressor + Air Filters 
Ac filters 
Cap radiator 
Plug
Filler neck radiator 
Control assy coolant temp
The condenser filter has been removed and requires replacement.
The pipes have been cleaned.",
77628,"X 81836","CHEVROLET CAMARO - Blue Viole - 2023 - X 81836",1944,OUT,2026-05-25,2026-05-26,2026-05-25,2026-05-26,,,,"WAHAT AL FURSAN",Breakdown,"Engine, Electrical",,,,,,,,"starter still have a problem after changing 
needs to check the electric",
77629,"CC 32022","MERCEDES CLA250 - Black - 2023 - CC 32022",1872,IN,2026-05-25,2026-05-25,2026-05-25,2026-05-25,,,,Regent,Breakdown,,,,,,,missing,,,
77630,"CC 32022","MERCEDES CLA250 - Black - 2023 - CC 32022",1872,OUT,2026-05-25,2026-05-26,2026-05-25,2026-05-26,,,,RMR,Breakdown,Engine,"Coolant Leak",,,,,,,"the message of coolant did't appear when Abdullah starting the car 
they will check it at rmr",
77631,"K 20797","FORD MUSTANG - Red Black - 2021 - K 20797",1812,IN,2026-05-24,2026-05-25,2026-05-25,2026-05-25,,,,"Qasr al zaiton",Routine,Engine,,,,,,missing,,"The leak issue will be addressed tomorrow. // dn",
77632,"AA 75985","CHEVROLET CAMARO - Matte Blue - 2021 - AA 75985",1861,Test,2026-05-25,,2026-05-25,,,,,,Routine,,,,,,,,,,
77633,"Z 47194","RANGE ROVER VELAR - Blue - 2021 - Z 47194",1794,"Follow up",2026-05-24,2026-05-26,2026-05-25,2026-05-26,,,,RMR,Routine,"Body & Exterior, Electrical, Suspension","Minor Surface Scratch, Paint Peeling / Fading, Airbag, Camera System Issue",,,,,,,"Scratches on front bumper
Scratches underneath vehicle/front lower area
Scratches on rims
Front windshield edge on left side requires repainting
Noise detected from axles/CV joints
Airbag warning light is on
Front and rear cameras intermittently disconnect and reconnect
-------------
new camera's computer",
77634,"EE 89165","CITROEN C4 - Grey - 2024 - EE 89165",1926,"Follow up",2026-05-24,2026-05-25,2026-05-25,2026-05-25,,,,"Deals On Wheels auto",Routine,"Body & Exterior","Minor Surface Scratch",,,,,,,"Damage/scraping along the entire right side.
The right mirror indicator is cracked.
Light scratches on the rear bumper.
Scratches and a dent on the rear left door.
--------------
full polish dn 
the small scratches will make touch up 
the dent at left side needs to paint full door 
tire covers will paint + rear side of right door
The front and rear right rims have been painted.
Only the glass cleaning remains pending.
ready",
77635,"Y 60385","JEEP GRAND CHEROKEE SRT - Blue - 2020 - Y 60385",1826,"Follow up",2026-05-21,2026-05-30,2026-05-25,2026-05-30,,,,"WAHAT AL FURSAN",Routine,"Air Conditioning, Engine, Brakes, Electrical, Exhaust","Fuse Blown",,,,,,,"A/C system issue.
Engine mounts are broken.
Noise when pressing the brake pedal and noise from the exhaust.
Radar system issue.
Fuse box and connector plug.
The fuse box and connector plug have arrived at the garage and will be installed.
--------------
the fuse box connector plug not good needs to change 
needs the same number 
--------------
we will return the fuse box and bring another one 
changing fuse box for the third time
Inspection of the fuse box.
The steering box issue is still pending.
The fuse box did not work.",
77636,"EE 89165","CITROEN C4 - Grey - 2024 - EE 89165",1926,IN,2026-05-24,2026-05-25,2026-05-25,2026-05-25,,,,"Deals On Wheels auto",Routine,"Body & Exterior","Minor Surface Scratch",,,,,missing,,"Damage/scraping along the entire right side.
The right mirror indicator is cracked.
Light scratches on the rear bumper.
Scratches and a dent on the rear left door.
--------------
full polish dn 
the small scratches will make touch up 
the dent at left side needs to paint full door 
tire covers will paint + rear side of right door
The front and rear right rims have been painted.
Only the glass cleaning remains pending.
ready",
77637,"R 90428","INFINITI QX80 - Black - 2023 - R 90428",1960,OUT,2026-05-25,2026-05-25,2026-05-25,2026-05-25,,,,"Deals On Wheels auto","Accidents with Insurance","Body & Exterior, Interior","Deep Dent, Minor Surface Scratch",Left,,,,,,"Scratches on hood
Heavy scratches on front bumper
Scratch on left door
Scratch on rear door
Scratches on rear left fender
Scratches on door handle
Accident damage on left side (door and fender)
Roof cover/trim requires replacement
Scratches on rear bumper
Full vehicle polishing required
Interior scratches near driver door area
Wheel lug wrench/tool required
-------------
The right and left mirrors have been fixed/aligned.
Polishing for the scratches performed.
The right-side side skirt/sill requires painting.",
77638,"G 87143","NISSAN PATROL - Tiffany Black - 2020 - G 87143",1834,IN,2026-05-23,2026-05-25,2026-05-25,2026-05-25,,,,"AL TAKHASUS",Breakdown,"Engine, Body & Exterior","Engine mechanical issue, Rim Scratch, Ignition Issues",,,,,missing,,"noise from engine
yesterday changed 2 front tires 
rims scratches 
-----------
Cylinder/Spark Plug No. 6 replaced
Engine requires overhaul/opening or replacement
-------
no problem with cylindet now 
engine needs replacement 
The BlackVue dash camera is not working.
Noise coming from the engine.",
77639,"G 87143","NISSAN PATROL - Tiffany Black - 2020 - G 87143",1834,OUT,2026-05-25,2026-05-26,2026-05-25,2026-05-26,,,,"Deals On Wheels auto",Routine,"Body & Exterior","Rim Scratch",,,,,,,"rims scratches",
77640,"R 90428","INFINITI QX80 - Black - 2023 - R 90428",1960,IN,2026-05-25,2026-05-25,2026-05-25,2026-05-25,,,,"Deals On Wheels auto","Accidents with Insurance","Body & Exterior, Interior","Deep Dent, Minor Surface Scratch",Left,,,,missing,,"Scratches on hood
Heavy scratches on front bumper
Scratch on left door
Scratch on rear door
Scratches on rear left fender
Scratches on door handle
Accident damage on left side (door and fender)
Roof cover/trim requires replacement
Scratches on rear bumper
Full vehicle polishing required
Interior scratches near driver door area
Wheel lug wrench/tool required
-------------
The right and left mirrors have been fixed/aligned.
Polishing for the scratches performed.
The right-side side skirt/sill requires painting.",
77641,"I 19131","NISSAN PATROL - Yellow Black - 2023 - I 19131",1859,OUT,2026-05-26,2026-05-26,2026-05-26,2026-05-26,,,,"Deals On Wheels auto",Routine,"Body & Exterior","Minor Surface Scratch",,,,,,,"front lip painted + 2 front rims",
77642,"K 20783","MERCEDES GLE 350 - White - 2022 - K 20783",1837,Test,2026-05-26,,2026-05-26,,,,,,Routine,Engine,,,,,,,,"check engine from coil 2 +",
77643,"T 91432","LAND ROVER DISCOVERY - White - 2020 - T 91432",1821,IN,2026-05-25,2026-05-26,2026-05-26,2026-05-26,,,,"Deals On Wheels auto",Routine,Electrical,"Battery Weak or Dead",,,,,missing,,"Inspection of the battery starter/starting system.
--------------
battery after test it's good it will change after 1 year 
starter is good 
Noise while driving coming from the rear bumper.
The vehicle battery replaced.
car is ready",
77644,"T 91432","LAND ROVER DISCOVERY - White - 2020 - T 91432",1821,OUT,2026-05-26,2026-05-27,2026-05-26,2026-05-27,,,,"khalf albhar",Routine,Electrical,"Battery Weak or Dead",,,,,,,,
77645,"X 81836","CHEVROLET CAMARO - Blue Viole - 2023 - X 81836",1944,"Follow up",2026-05-25,2026-05-26,2026-05-26,2026-05-26,,,,"WAHAT AL FURSAN",Breakdown,"Engine, Electrical",,,,,,,,"starter still have a problem after changing 
needs to check the electric
----------------
Booster/jump starter used to start the vehicle",
77646,"K 20783","MERCEDES GLE 350 - White - 2022 - K 20783",1837,OUT,2026-05-26,2026-05-26,2026-05-26,2026-05-26,,,,RMR,Routine,Engine,"Ignition Issues",,,,,,,"check engine from coil 2 
Spark plugs require replacement
Ignition coil No. 2 requires replacement
----------------
new Spark plug and coil // dn",
77647,"CC 32022","MERCEDES CLA250 - Black - 2023 - CC 32022",1872,"Follow up",2026-05-25,2026-05-26,2026-05-26,2026-05-26,,,,RMR,Breakdown,Engine,"Coolant Leak",,,,,,,"the message of coolant did't appear when Abdullah starting the car 
they will check it at rmr 
------------
new water bump with sensor 
Coolant reservoir warning message.
The reservoir tank has been replaced.",
77648,"Z 47194","RANGE ROVER VELAR - Blue - 2021 - Z 47194",1794,"Follow up",2026-05-24,2026-05-26,2026-05-26,2026-05-26,,,,RMR,Routine,"Body & Exterior, Electrical, Suspension","Minor Surface Scratch, Paint Peeling / Fading, Airbag, Camera System Issue",,,,,,,"Scratches on front bumper
Scratches underneath vehicle/front lower area
Scratches on rims
Front windshield edge on left side requires repainting
Noise detected from axles/CV joints
Airbag warning light is on
Front and rear cameras intermittently disconnect and reconnect
-------------
new camera's computer / didnt work 
-------------- 
new camera's computer we will test it if it's okay  it will end today if it's not  we will take it and complete work after eid  
The camera control modules/computers did not work.",
77649,"I 19131","NISSAN PATROL - Yellow Black - 2023 - I 19131",1859,IN,2026-05-26,2026-05-26,2026-05-26,2026-05-26,,,,"Deals On Wheels auto",Routine,"Body & Exterior","Minor Surface Scratch",,,,,missing,,"front lip painted + 2 front rims",
77650,"X 76815","MG6 - Red - 2020 - X 76815",1806,OUT,2026-05-26,2026-05-30,2026-05-26,2026-05-30,,,,"Deals On Wheels auto",Routine,Engine,"Oil & Fillter Change",,,,,,,"needs full check",
77651,"B 44648","HYUNDAI ELENTRA - Green - 2013 - B 44648",1607,"Follow up",2026-05-24,2026-05-29,2026-05-26,2026-05-29,,,,"Deals On Wheels auto",Routine,"Engine, Cooling System, Air Conditioning, Tires, Brakes, Electrical, Interior, Transmission","Oil & Fillter Change, Coolant Leak, AC Not Cooling, Brake Pad Wear, Headlights / Taillights Fault, Upholstery Damage",,,,,,,"Engine oil and filters replaced
Coolant/water leak detected
Air conditioning system requires inspection/service
Rear tires require replacement
Brake system requires service/replacement
Front right headlight issue
Upholstery and paint work required
--------------
Engine mounts require replacement
Transmission mounts require replacement
needs Engine air filter + Spark plugs + A/C filter
new Ac compressor + Air Filters 
Ac filters 
Cap radiator 
Plug
Filler neck radiator 
Control assy coolant temp
The condenser filter has been removed and requires replacement.
The pipes have been cleaned.
---------------
the pipe that had the leak changed",
77652,"K 20783","MERCEDES GLE 350 - White - 2022 - K 20783",1837,IN,2026-05-26,2026-05-26,2026-05-26,2026-05-26,,,,RMR,Routine,Engine,"Ignition Issues",,,,,missing,,"check engine from coil 2 
Spark plugs require replacement
Ignition coil No. 2 requires replacement
----------------
new Spark plug and coil // dn",
77653,"G 87143","NISSAN PATROL - Tiffany Black - 2020 - G 87143",1834,IN,2026-05-25,2026-05-26,2026-05-26,2026-05-26,,,,"Deals On Wheels auto",Routine,"Body & Exterior","Rim Scratch",,,,,missing,,"rims scratches",
77654,"X 81836","CHEVROLET CAMARO - Blue Viole - 2023 - X 81836",1944,IN,2026-05-25,2026-05-26,2026-05-26,2026-05-26,ABDULLAH,,,"WAHAT AL FURSAN",Breakdown,"Engine, Electrical",,,,,,missing,,"starter still have a problem after changing 
needs to check the electric
----------------
Booster/jump starter used to start the vehicle
---------------
with abdullah for testing",
77655,"R 90426","CHEVROLET MALIBU - Black - 2022 - R 90426",1954,Test,2026-05-26,,2026-05-26,,,,,,Routine,Engine,,,,,,,,"The check engine warning message caused by the wiring has been resolved in the parking",
77656,"O 3125","DODGE CHALLENGER - Black Green - 2020 - O 3125",1741,OUT,2026-05-26,2026-05-26,2026-05-26,2026-05-26,,,,"FUTURE TYRES",Routine,Tires,"Flat Tire",,,,,,,"The rear left tire valve is damaged and requires replacement.",
77657,"O 3125","DODGE CHALLENGER - Black Green - 2020 - O 3125",1741,IN,2026-05-26,2026-05-26,2026-05-26,2026-05-26,,,,"FUTURE TYRES",Routine,Tires,"Flat Tire",,,,,missing,,"The rear left tire valve is damaged and requires replacement.",
77658,"CC 32022","MERCEDES CLA250 - Black - 2023 - CC 32022",1872,IN,2026-05-25,2026-05-26,2026-05-26,2026-05-26,,,,RMR,Breakdown,"Engine, Cooling System","Coolant Leak",,,,,missing,,"the message of coolant did't appear when Abdullah starting the car 
they will check it at rmr 
------------
new water bump with sensor 
Coolant reservoir warning message.
The reservoir tank has been replaced.",
77659,"CC 32022","MERCEDES CLA250 - Black - 2023 - CC 32022",1872,OUT,2026-05-26,2026-05-26,2026-05-26,2026-05-26,,,,"FUTURE TYRES",Routine,Tires,,,,,,,,"Tire warning message.",
77660,"Z 47194","RANGE ROVER VELAR - Blue - 2021 - Z 47194",1794,IN,2026-05-24,2026-05-26,2026-05-26,2026-05-26,,,,RMR,Routine,"Body & Exterior, Electrical, Suspension","Minor Surface Scratch, Paint Peeling / Fading, Airbag, Camera System Issue",,,,,missing,,"Scratches on front bumper
Scratches underneath vehicle/front lower area
Scratches on rims
Front windshield edge on left side requires repainting
Noise detected from axles/CV joints
Airbag warning light is on
Front and rear cameras intermittently disconnect and reconnect
-------------
new camera's computer / didnt work 
-------------- 
new camera's computer we will test it if it's okay  it will end today if it's not  we will take it and complete work after eid  
The camera control modules/computers did not work.",
77661,"CC 32022","MERCEDES CLA250 - Black - 2023 - CC 32022",1872,IN,2026-05-26,2026-05-26,2026-05-26,2026-05-26,,,,"FUTURE TYRES",Routine,Tires,,,,,,missing,,"Tire warning message.
tire puncture dn",
77662,"I 29962","JAGUAR E-PACE - Black - 2021 - I 29962",1790,"Follow up",,,2026-05-26,,,,,,Breakdown,Transmission,"Gearbox Not Engaging",,,,,,,"Transmission / gearbox.",
77663,"I 29962","JAGUAR E-PACE - Black - 2021 - I 29962",1790,OUT,2026-05-26,2026-05-30,2026-05-26,2026-05-30,Recovery,,,"khalf albhar",Breakdown,Transmission,"Gearbox Not Engaging",,,,,,,"Transmission / gearbox.
The vehiclein Khalaf Al Bahar Garage,
 and work will begin on it on Saturday .",
77664,"T 91485","CHEVROLET TRAVERSE - Black - 2021 - T 91485",1825,Test,2026-05-26,,2026-05-27,,,,,,Routine,"Body & Exterior, Electrical, Air Conditioning","Minor Surface Scratch, Headlights / Taillights Fault, AC Not Cooling",,,,,,,"Left headlight flickering
AWD/4WD warning message displayed
A/C cooling performance is weak
Scratches on front bumper
Scratches on hood
Scratch on front left fender
Scratch on driver door
Scratches on rear left door
Scratch on rear bumper
Scratch on rear right fender
Scratches on right-side doors
Rear wheel/tire covers require repainting",
77665,"R 90432","CHEVROLET MALIBU - Black - 2023 - R 90432",1952,Test,2026-05-27,,2026-05-27,,,,,,Routine,"Body & Exterior","Minor Surface Scratch",,,,,,,"Scratches on front left bumper
Scratches on left side and doors
Scratches on rear bumper
Scratches on right-side bumper
Scratches underneath right-side doors
Rear left bumper requires repainting",
77666,"V 48304","PATROL QX80 BLACK HAWK - Black Tiffany - 2020 - V 48304",1840,Test,2026-05-27,,2026-05-27,,,,,,Routine,"Body & Exterior, Interior","Minor Surface Scratch, Rim Scratch, Upholstery Damage",,,,,,,"rear seat damaged
rims scratches dn at parking we will fix them at garage after eid",
77667,"CC 70610","FORD MUSTANG - Black - 2021 - CC 70610",1875,Test,2026-05-27,,2026-05-27,,,,,,Routine,"Body & Exterior","Rim Scratch",,,,,,,"4 rims scratches dn at parking",
77668,"X 81837","DODGE CHARGER - Black Yellow - 2021 - X 81837",1758,Test,2026-05-27,,2026-05-27,,,,,,Routine,Tires,"Rim Scratch",,,,,,,"The right-side rims scratches dn in the parking.
Ready",
77669,"T 91432","LAND ROVER DISCOVERY - White - 2020 - T 91432",1821,IN,2026-05-26,2026-05-27,2026-05-27,2026-05-27,,,,"khalf albhar",Routine,Electrical,"Battery Weak or Dead",,,,,missing,,"On Saturday, the vehicle will be sent back for maintenance if any issues are found.",
77670,"T 91463","JAGUAR F PACE - Orange - 2020 - T 91463",1831,Test,2026-05-27,,2026-05-28,,,,,,Routine,"Body & Exterior","Rim Scratch, Minor Surface Scratch",,,,,,,"Scratch on front bumper
Scratches on rims 
dn at parking till the end of eid",
77671,"N 12281","RANGE ROVER - SPORT - White - 2021 - N 12281",1897,Test,2026-05-28,,2026-05-28,,,,,,Routine,Electrical,Airbag,,,,,,,"Ready 
airbag light dn at parking",
77672,"V 75354","CHEVROLET CAMARO - Orange Black - 2022 - V 75354",1823,Test,2026-05-28,,2026-05-28,,,,,,Routine,,,,,,,,,Ready,
77673,"CC 70610","FORD MUSTANG - Black - 2021 - CC 70610",1875,"Follow up",2026-05-28,2026-05-28,2026-05-28,2026-05-28,,,,,Breakdown,Tires,"Tire Aging / Cracks",,,,,,,"abo maruf fixed the rear left tire",
77674,"G 36726","MASERATI  LEVANTE - Black - 2021 - G 36726",1910,Test,2026-05-28,,2026-05-28,,,,,,Routine,"Body & Exterior","Minor Surface Scratch",,,,,,,"scratch on the front right bumper + bonnet needs polish 
needs to check from leak soon",
77675,"EE 89172","CITROEN C4 - Blue Light - 2024 - EE 89172",1923,Test,2026-05-28,,2026-05-28,,,,,,Routine,"Body & Exterior","Minor Surface Scratch",,,,,,,"Scratch on the rear right rim.
Ready.",
77676,"X 81836","CHEVROLET CAMARO - Blue Viole - 2023 - X 81836",1944,"Follow up",2026-05-28,2026-05-28,2026-05-28,2026-05-28,,,,,,,,,,,,,,"it was with abo marof thin with abdulla:
under test",
77677,"C 47377","BMW X5 - Grey - 2023 - C 47377",1809,Test,2026-05-28,,2026-05-28,,,,,,Routine,"Body & Exterior","Minor Surface Scratch, Rim Scratch",,,,,,,"The rubber trim/seal requires fixing.
Scratches on the right side of the front bumper.
Scratches on the front and rear right rims.
Scratches on the rear bumper.",
77678,"U 11219","NISSAN Patrol Blue Hawk - Matte Blue - 2022 - U 11219",1877,Test,2026-05-28,,2026-05-28,,,,,,Routine,"Body & Exterior","Rim Scratch",,,,,,,"Scratches on the front and rear right rims.
Scratches on the front and rear left rims.",
77679,"C 52604","BMW 430I - Black - 2021 - C 52604",1813,"Follow up",2026-05-28,2026-05-28,2026-05-28,2026-05-28,,,,,"Accidents without Insurance","Body & Exterior","Rim Scratch",,,,,,,"Damage/scraping with scratches on the front and rear right rims.",
77680,"B 44648","HYUNDAI ELENTRA - Green - 2013 - B 44648",1607,"Follow up",2026-05-24,2026-05-29,2026-05-29,2026-05-29,,,,"Deals On Wheels auto",Routine,"Engine, Cooling System, Air Conditioning, Tires, Brakes, Electrical, Interior, Transmission, Body & Exterior","Oil & Fillter Change, Coolant Leak, AC Not Cooling, Brake Pad Wear, Headlights / Taillights Fault, Upholstery Damage",,,,,,,"Engine oil and filters replaced
Coolant/water leak detected
Air conditioning system requires inspection/service
Rear tires require replacement
Brake system requires service/replacement
Front right headlight issue
Upholstery and paint work required
--------------
Engine mounts require replacement
Transmission mounts require replacement
needs Engine air filter + Spark plugs + A/C filter
new Ac compressor + Air Filters 
Ac filters 
Cap radiator 
Plug
Filler neck radiator 
Control assy coolant temp
The condenser filter has been removed and requires replacement.
The pipes have been cleaned.
---------------
the pipe that had the leak changed 
----------------
The oil pressure sensor has been installed.
Work has been carried out on the pipes to repair the water leak.
The A/C control module (A/C computer) has been replaced.
After that, the vehicle will be taken to Future Garage for tire inspection.",
77681,"C 47377","BMW X5 - Grey - 2023 - C 47377",1809,OUT,2026-05-29,2026-05-29,2026-05-29,2026-05-29,,,,"Deals On Wheels auto",Routine,"Body & Exterior, Engine","Minor Surface Scratch, Rim Scratch, Oil & Fillter Change",,,,,,,"The rubber trim/seal requires fixing.
Scratches on the right side of the front bumper.
Scratches on the front and rear right rims.
Scratches on the rear bumper.
Scratches on the front and rear right rims dn.
The right and left rear fender flares have been fixed.
The engine oil and filter have been replaced.
The engine has been cleaned.",
77682,"U 11219","NISSAN Patrol Blue Hawk - Matte Blue - 2022 - U 11219",1877,OUT,2026-05-29,2026-05-29,2026-05-29,2026-05-29,,,,"Deals On Wheels auto",Routine,"Body & Exterior","Rim Scratch",,,,,,,"Scratches on the front and rear right rims.
Scratches on the front and rear left rims.
The scratches on all four rims have been painted.",
77683,"U 11219","NISSAN Patrol Blue Hawk - Matte Blue - 2022 - U 11219",1877,IN,2026-05-29,2026-05-29,2026-05-29,2026-05-29,,,,"Deals On Wheels auto",Routine,"Body & Exterior","Rim Scratch",,,,,missing,,"Scratches on the front and rear right rims.
Scratches on the front and rear left rims.
The scratches on all four rims have been painted.",
77684,"R 90432","CHEVROLET MALIBU - Black - 2023 - R 90432",1952,OUT,2026-05-29,2026-05-29,2026-05-29,2026-05-29,,,,"Deals On Wheels auto",Routine,"Body & Exterior","Minor Surface Scratch",,,,,,,"Scratches on front left bumper
Scratches on left side and doors
Scratches on rear bumper
Scratches on right-side bumper
Scratches underneath right-side doors
Rear left bumper requires repainting
The engine oil and filter have been replaced.
.The scratches will be  polished.
The rear bumper diffuser will be painted.",
